Veh_Age,Gender,Exposure,Claim_Ind,Claim_Sev
2,F,0.87,0,0
2,F,0.50,0,0
2,F,0.08,1,4.123974795
2,F,0.85,1,2.116978031
1,F,0.55,0,0
1,M,0.09,0,0
4,M,0.71,1,27.22269344
3,F,0.12,1,10.80117183
2,F,0.18,1,0.1708462283
1,M,0.64,0,0
3,M,0.03,1,4.656014925
1,M,0.62,0,0
2,F,0.45,0,0
4,F,0.75,1,13.65175814
1,F,0.21,1,16.97659056
2,M,0.42,0,0
1,F,0.90,1,3.218768128
1,M,0.45,0,0
3,M,0.27,1,13.41746931
4,M,0.90,0,0
4,M,0.09,1,11.55425897
1,F,0.95,0,0
1,F,0.65,0,0
4,F,0.13,1,7.854867171
4,F,0.71,0,0
4,M,0.47,0,0
2,F,0.41,1,10.98674594
4,M,0.65,0,0
1,F,0.52,1,1.77928014
3,M,0.48,0,0
2,F,0.23,1,1.647905229
1,M,0.02,0,0
3,F,0.74,0,0
3,M,0.63,1,2.16249779
2,M,0.30,1,0.6882085248
2,F,0.44,1,25.90602745
1,M,0.13,0,0
4,M,0.80,1,4.340851978
1,F,0.90,1,4.974037904
2,F,0.79,1,40.96519556
1,F,0.32,0,0
4,F,0.70,1,0.8479320908
1,F,0.35,1,22.7973945
4,M,0.23,1,3.978325376
1,M,0.97,0,0
1,M,0.36,1,5.286347397
4,F,0.92,0,0
4,F,0.60,0,0
1,F,0.32,0,0
2,M,0.42,0,0
4,M,0.03,0,0
1,M,0.76,1,13.19874027
3,F,0.36,0,0
1,M,0.70,1,10.16447554
3,M,0.46,1,3.907547511
2,M,0.10,1,21.14836852
1,M,0.27,0,0
1,F,0.19,1,12.54773629
2,F,0.35,1,8.45626297
4,F,0.62,0,0
2,M,0.02,1,19.49473554
3,M,0.52,0,0
3,F,0.21,0,0
4,M,0.86,1,2.218262822
4,F,1.00,1,10.0027551
2,F,0.46,1,0.148916923
4,F,0.33,0,0
4,F,0.27,0,0
2,M,0.50,1,16.68062197
1,F,0.87,0,0
3,F,0.15,1,4.716097971
2,F,0.77,0,0
2,F,0.28,1,12.92295018
4,M,0.45,0,0
1,M,0.95,0,0
3,M,0.38,0,0
1,M,0.75,1,1.201731678
3,F,0.19,1,11.97425424
1,F,0.96,1,4.482711047
3,F,0.95,1,1.800665808
4,F,0.83,1,3.41914057
1,M,0.67,1,2.224140445
4,M,0.06,0,0
4,F,0.51,1,4.57365018
3,M,0.95,1,6.639872448
1,F,0.86,0,0
4,F,0.94,1,2.097356445
4,M,0.95,0,0
2,M,0.73,0,0
1,F,0.34,1,19.60169805
1,M,0.13,0,0
3,M,0.79,1,2.602253575
2,F,0.20,1,5.885835854
3,M,0.53,0,0
1,M,0.20,0,0
2,F,0.68,0,0
2,F,0.84,1,0.7043039545
4,M,0.81,1,9.653452005
1,M,0.04,0,0
3,M,0.16,0,0
4,M,0.46,1,13.7593325
2,F,0.24,0,0
4,F,0.45,1,10.26632672
4,F,1.00,1,27.9250233
2,M,0.14,1,6.849515711
3,F,0.50,0,0
3,M,0.04,0,0
2,F,0.50,0,0
1,M,0.85,0,0
1,M,0.30,1,18.36295232
1,F,0.93,1,2.627366254
4,F,0.06,1,12.20250303
2,M,0.76,1,9.008959982
3,F,0.92,0,0
1,M,0.70,0,0
2,M,0.43,1,14.07444121
4,F,0.46,1,4.969017459
2,F,0.32,1,3.772920765
4,M,0.07,0,0
3,M,0.89,0,0
1,M,0.33,1,3.638185065
4,F,0.91,0,0
2,F,0.58,1,9.939215862
1,M,0.89,1,10.66939221
2,F,0.93,1,1.443706374
1,M,0.81,0,0
1,M,0.87,1,14.19373907
3,F,0.65,1,24.47393849
2,F,0.82,0,0
3,F,0.10,1,2.185058549
2,M,0.68,0,0
2,M,0.52,0,0
2,M,0.61,1,0.8791660157
3,F,0.43,1,1.350599534
4,F,0.39,0,0
1,F,0.71,0,0
1,F,0.94,1,0.821966914
4,F,0.12,0,0
2,F,0.23,1,39.38434788
4,F,0.68,1,24.73411549
3,M,0.17,1,2.057916121
3,M,0.61,1,15.73386102
3,F,0.54,1,30.57607429
1,F,0.32,0,0
4,F,0.01,0,0
4,M,0.29,0,0
3,M,0.06,0,0
4,M,0.50,0,0
3,F,0.81,1,16.49142948
1,M,0.22,0,0
2,F,0.22,1,4.599365982
4,M,0.74,0,0
2,M,0.57,0,0
4,F,0.62,0,0
1,F,0.79,1,22.27832021
4,F,0.26,1,10.91920379
1,M,0.42,0,0
1,M,0.51,0,0
3,M,0.42,0,0
4,F,0.82,0,0
4,F,0.36,1,3.961911279
4,F,0.42,1,19.78798933
4,M,0.64,0,0
1,M,0.19,0,0
3,F,0.50,1,9.137231319
2,M,0.48,0,0
1,F,0.88,0,0
1,M,0.64,0,0
1,M,0.31,0,0
3,M,0.90,1,23.47940836
4,M,0.36,1,15.92846991
1,M,0.20,0,0
2,F,0.60,0,0
2,F,0.37,1,1.06686043
3,F,0.44,0,0
3,F,0.66,1,2.468783347
2,M,0.75,1,22.9176836
2,M,0.47,0,0
2,M,0.81,1,5.992214986
1,F,0.45,1,21.70267553
4,M,0.50,0,0
1,M,0.02,0,0
2,M,0.09,0,0
1,F,0.26,1,1.330930513
2,M,0.94,0,0
2,M,0.67,0,0
3,M,0.12,0,0
2,F,0.51,0,0
2,M,0.59,1,1.292289213
2,F,0.17,0,0
3,F,0.48,0,0
3,M,0.95,0,0
2,F,0.64,1,11.24669964
4,M,0.95,1,0.2629885393
3,F,0.42,0,0
1,F,0.58,0,0
1,F,0.99,1,54.88966919
1,M,0.07,0,0
1,F,0.18,1,1.649529592
3,M,0.47,1,0.6956661657
2,F,0.38,0,0
2,M,0.71,0,0
3,M,0.54,0,0
3,F,0.17,0,0
