indiv,year,lwage,educ,exper,exper2,union,pub,married,black,hispanic
13,1980,1.197540164,14,1,1,0,0,0,0,0
13,1981,1.853060007,14,2,4,1,0,0,0,0
13,1982,1.344461679,14,3,9,0,0,0,0,0
13,1983,1.433213353,14,4,16,0,0,0,0,0
13,1984,1.568125129,14,5,25,0,0,0,0,0
13,1985,1.699890971,14,6,36,0,0,0,0,0
13,1986,-0.7202625871,14,7,49,0,0,0,0,0
13,1987,1.669187903,14,8,64,0,0,0,0,0
17,1980,1.675962448,13,4,16,0,0,0,0,0
17,1981,1.518398166,13,5,25,0,0,0,0,0
17,1982,1.559190512,13,6,36,0,0,0,0,0
17,1983,1.725410104,13,7,49,0,0,0,0,0
17,1984,1.622022271,13,8,64,0,0,0,0,0
17,1985,1.608588219,13,9,81,0,0,0,0,0
17,1986,1.57238543,13,10,100,0,0,0,0,0
17,1987,1.820333838,13,11,121,0,0,0,0,0
18,1980,1.51596272,12,4,16,0,0,1,0,0
18,1981,1.7353791,12,5,25,0,0,1,0,0
18,1982,1.63174367,12,6,36,0,0,1,0,0
18,1983,1.998228788,12,7,49,0,0,1,0,0
18,1984,2.18401432,12,8,64,0,0,1,0,0
18,1985,2.266662121,12,9,81,0,0,1,0,0
18,1986,2.069943905,12,10,100,0,0,1,0,0
18,1987,2.873160839,12,11,121,0,0,1,0,0
45,1980,1.894114971,12,2,4,1,0,0,0,0
45,1981,1.471159339,12,3,9,1,0,0,0,0
45,1982,1.47349751,12,4,16,0,0,0,0,0
45,1983,1.740914226,12,5,25,0,0,0,0,0
45,1984,1.823213696,12,6,36,0,0,0,0,0
45,1985,1.908272862,12,7,49,0,0,0,0,0
45,1986,1.742447376,12,8,64,0,0,0,0,0
45,1987,2.13568902,12,9,81,0,0,1,0,0
110,1980,1.948774815,12,5,25,1,0,0,0,0
110,1981,1.962259293,12,6,36,0,0,0,0,0
110,1982,1.963296771,12,7,49,0,0,0,0,0
110,1983,2.202515602,12,8,64,0,0,0,0,0
110,1984,2.134954214,12,9,81,0,0,1,0,0
110,1985,2.125822783,12,10,100,0,0,1,0,0
110,1986,1.991016626,12,11,121,0,0,1,0,0
110,1987,2.112393379,12,12,144,0,0,1,0,0
120,1980,0.2585548759,10,2,4,0,0,0,0,0
120,1981,1.319971681,10,3,9,0,0,0,0,0
120,1982,1.462085247,10,4,16,0,0,0,0,0
120,1983,1.32028687,10,5,25,0,0,0,0,0
120,1984,1.703646541,10,6,36,0,0,0,0,0
120,1985,1.445803165,10,7,49,0,0,0,0,0
120,1986,1.806364059,10,8,64,0,0,0,0,0
120,1987,2.148120165,10,9,81,0,0,0,0,0
126,1980,1.737285495,13,2,4,0,0,0,0,0
126,1981,1.989600897,13,3,9,0,0,0,0,0
126,1982,2.189916849,13,4,16,0,0,0,0,0
126,1983,1.855463266,13,5,25,0,0,0,0,0
126,1984,1.922437787,13,6,36,0,0,0,0,0
126,1985,2.061023951,13,7,49,0,0,1,0,0
126,1986,1.782201648,13,8,64,0,0,1,0,0
126,1987,2.414681673,13,9,81,0,0,1,0,0
150,1980,1.208735347,12,2,4,0,0,0,0,0
150,1981,1.194039702,12,3,9,0,0,0,0,0
150,1982,1.170440555,12,4,16,0,0,0,0,0
150,1983,1.097964525,12,5,25,0,0,0,0,0
150,1984,0.7658162117,12,6,36,0,0,0,0,0
150,1985,1.119025946,12,7,49,0,0,0,0,0
150,1986,1.119366765,12,8,64,0,0,0,0,0
150,1987,0.8314595222,12,9,81,1,0,0,0,0
162,1980,0.5024701357,11,2,4,1,0,0,0,0
162,1981,1.064912319,11,3,9,0,0,0,0,0
162,1982,1.189497948,11,4,16,0,0,0,0,0
162,1983,1.539888501,11,5,25,0,0,0,0,0
162,1984,1.598286033,11,6,36,0,0,0,0,0
162,1985,1.737320662,11,7,49,0,0,0,0,0
162,1986,1.988455892,11,8,64,0,0,0,0,0
162,1987,2.158678532,11,9,81,0,0,0,0,0
166,1980,1.005293965,10,2,4,1,0,0,0,0
166,1981,0.937687397,10,3,9,1,0,0,0,0
166,1982,1.367487669,10,4,16,1,0,0,0,0
166,1983,1.378008723,10,5,25,1,0,0,0,0
166,1984,1.170183539,10,6,36,1,0,0,0,0
166,1985,1.728221416,10,7,49,0,0,0,0,0
166,1986,1.709864736,10,8,64,0,0,1,0,0
166,1987,1.851074815,10,9,81,0,0,1,0,0
189,1980,1.130545378,14,2,4,0,0,0,0,0
189,1981,0.8362480402,14,3,9,0,0,0,0,0
189,1982,1.467359781,14,4,16,0,0,0,0,0
189,1983,1.071483612,14,5,25,0,0,0,0,0
189,1984,1.445919514,14,6,36,0,0,0,0,0
189,1985,1.685116291,14,7,49,0,0,0,0,0
189,1986,1.686174989,14,8,64,0,0,0,0,0
189,1987,1.755130291,14,9,81,0,0,0,0,0
193,1980,1.565691948,14,2,4,0,0,0,0,0
193,1981,2.493875265,14,3,9,0,0,0,0,0
193,1982,1.822662115,14,4,16,0,0,0,0,0
193,1983,2.380336046,14,5,25,0,0,0,0,0
193,1984,2.217128515,14,6,36,0,0,0,0,0
193,1985,2.272031546,14,7,49,0,0,1,0,0
193,1986,2.353798628,14,8,64,0,0,1,0,0
193,1987,2.429450035,14,9,81,0,0,1,0,0
209,1980,1.918003201,11,3,9,0,0,0,0,0
209,1981,0.7654077411,11,4,16,0,0,0,0,0
209,1982,1.978185415,11,5,25,0,0,0,0,0
209,1983,1.948553681,11,6,36,0,0,0,0,0
209,1984,2.037025928,11,7,49,0,0,0,0,0
209,1985,1.902574778,11,8,64,0,0,0,0,0
209,1986,1.972603679,11,9,81,0,0,0,0,0
209,1987,2.186982155,11,10,100,0,0,0,0,0
212,1980,1.78447175,11,2,4,0,0,0,0,0
212,1981,2.179982662,11,3,9,0,0,0,0,0
212,1982,1.963865399,11,4,16,1,0,0,0,0
212,1983,2.044932842,11,5,25,0,0,0,0,0
212,1984,2.012861252,11,6,36,0,0,0,0,0
212,1985,2.096985817,11,7,49,0,0,0,0,0
212,1986,2.143966198,11,8,64,0,0,1,0,0
212,1987,2.24128437,11,9,81,1,0,1,0,0
218,1980,2.013313293,15,2,4,0,0,0,0,0
218,1981,1.962152481,15,3,9,0,0,0,0,0
218,1982,2.275640965,15,4,16,0,0,0,0,0
218,1983,2.194917679,15,5,25,0,0,1,0,0
218,1984,2.428337336,15,6,36,0,0,1,0,0
218,1985,2.723037004,15,7,49,0,0,1,0,0
218,1986,2.966396332,15,8,64,0,0,1,0,0
218,1987,3.065051794,15,9,81,0,0,1,0,0
243,1980,1.564181328,12,4,16,0,0,0,0,0
243,1981,1.683545828,12,5,25,0,0,0,0,0
243,1982,1.690503359,12,6,36,0,1,0,0,0
243,1983,1.660871625,12,7,49,0,1,1,0,0
243,1984,1.698050618,12,8,64,0,1,1,0,0
243,1985,1.671768188,12,9,81,0,1,1,0,0
243,1986,1.635717511,12,10,100,0,1,1,0,0
243,1987,1.786970973,12,11,121,0,0,1,0,0
259,1980,2.107189655,12,3,9,1,0,1,0,0
259,1981,2.089010954,12,4,16,1,0,1,0,0
259,1982,2.042723894,12,5,25,1,0,1,0,0
259,1983,1.308155775,12,6,36,1,0,1,0,0
259,1984,1.488152266,12,7,49,0,0,1,0,0
259,1985,1.542818189,12,8,64,0,0,1,0,0
259,1986,1.535134673,12,9,81,0,0,1,0,0
259,1987,1.45433557,12,10,100,0,0,1,0,0
260,1980,1.629912019,11,2,4,1,0,0,0,0
260,1981,1.775113106,11,3,9,1,0,0,0,0
260,1982,1.967256308,11,4,16,0,0,0,0,0
260,1983,2.075186253,11,5,25,0,0,1,0,0
260,1984,2.128833532,11,6,36,0,0,1,0,0
260,1985,2.268419266,11,7,49,0,0,1,0,0
260,1986,1.992139101,11,8,64,0,0,1,0,0
260,1987,2.421554565,11,9,81,0,0,1,0,0
309,1980,1.786075711,12,3,9,0,0,0,0,0
309,1981,2.28076601,12,4,16,0,0,0,0,0
309,1982,2.264266253,12,5,25,0,0,0,0,0
309,1983,2.275456429,12,6,36,0,0,1,0,0
